,name,worth_amount_(BUSD),country,company_sector,company_name,age,gender
1113,Ana Lucia De Mattos Barretto Villela,2.2,,Finance and Investments,banking,44.0,
1114,"Frank Fertitta, Iii.",2.2,United States,Sports,"casinos, mixed martial arts",56.0,M
1115,Lorenzo Fertitta,2.2,United States,Sports,"casinos, mixed martial arts",49.0,
1116,Maria Franca Fissolo,2.2,,Food and Beverage,"Nutella, chocolates",83.0,
1117,Alexander Frolov,2.2,,Metals & Mining,"mining, steel",54.0,M
1118,"Ernest Garcia, Ii.",2.2,,Automotive,used cars,61.0,
1119,Alexandre Grendene Bartelle,2.2,,Fashion & Retail,shoes,68.0,M
1120,Vinod & Anil Rai Gupta,2.2,,Manufacturing,electrical equipment,72.0,
1121,Torstein Hagen,2.2,,Service,cruises,75.0,M
1122,He Qiaonv,2.2,,Service,landscape architecture,52.0,F
1123,Hans-Werner Hector,2.2,,Technology,SAP,78.0,M
1124,Stanley Hubbard,2.2,United States,Media & Entertainment,DirecTV,85.0,
1125,Ke Xiping,2.2,,Diversified,investments,58.0,M
1126,Suna Kirac,2.2,,Diversified,diversified,77.0,F
1127,Kong Jian Min,2.2,China,Real Estate,real estate,50.0,M
1128,Koo Bon-Moo,2.2,,Diversified,Diversified,73.0,M
1129,Heikki Kyostila,2.2,,Healthcare,dental products,72.0,M
1130,Thomas Lee,2.2,United States,Finance and Investments,private equity,74.0,
1131,Eric Lefkofsky,2.2,,Technology,Groupon,48.0,M
1132,Peter Lim,2.2,,Finance and Investments,investments,65.0,
1133,Scott Lin,2.2,,Technology,optical components,,M
1134,Tomas Olivo Lopez,2.2,,Real Estate,shopping centers,44.0,
1135,Phillip T. (Terry) Ragon,2.2,,Technology,health IT,69.0,M
1136,Stewart Rahr,2.2,,Healthcare,drug distribution,72.0,M
1137,T. Denny Sanford,2.2,United States,Finance and Investments,"banking, credit cards",82.0,M
1138,"Julio Mario Santo Domingo, Iii.",2.2,,Food and Beverage,beer,32.0,M
1139,"Karl Scheufele, Iii.",2.2,,Fashion & Retail,jewelry,79.0,M
1140,Shen Guojun,2.2,,Fashion & Retail,retail,55.0,M
1141,Alain Taravella,2.2,France,Real Estate,real estate,70.0,
1142,Oleg Tinkov,2.2,Russia,Finance and Investments,banking,50.0,M
1143,T.Y. Tsai,2.2,,Finance and Investments,finance,,
1144,Tung Chee Hwa,2.2,Hong Kong,Logistics,shipping,81.0,
1145,Ted Turner,2.2,,Media & Entertainment,cable television,79.0,M
1146,Sunil Vaswani,2.2,,Diversified,diversified,54.0,
1147,Jitendra Virwani,2.2,,Real Estate,real estate,52.0,M
1148,Lang Walker,2.2,,Real Estate,real estate,72.0,M
1149,Wu Zhigang,2.2,,Food and Beverage,bakery chain,83.0,M
1150,Xiao Wenge,2.2,,Media & Entertainment,entertainment,51.0,
1151,Xiong Xuqiang,2.2,Hong Kong,Real Estate,real estate,61.0,M
1152,Takao Yasuda,2.2,,Fashion & Retail,retail,69.0,M
1153,William Young,2.2,,Manufacturing,plastics,77.0,M
1154,Eddie & Sol Zakay,2.2,United Kingdom,Real Estate,Real Estate,,M
1155,Zhang Xiugen,2.2,,Automotive,automobiles,57.0,M
1156,Leslie Alexander,2.1,,Sports,sports team,74.0,
1157,Patricia Angelini Rossi,2.1,,Diversified,"forestry, mining",64.0,F
1158,Josef Boquoi,2.1,Germany,Food and Beverage,frozen foods,84.0,M
1159,Nikolai Buinov,2.1,,Energy,"oil, gas",50.0,
1160,Richard Chandler,2.1,,Finance and Investments,investments,59.0,M
1161,Cheng Xue,2.1,China,Food and Beverage,soy sauce,48.0,
1162,Patokh Chodiev,2.1,Belgium,Metals & Mining,"mining, metals",65.0,
1163,Choo Chong Ngen,2.1,,Real Estate,hotels,65.0,M
